year,rate of Lithuania,rate of USA,rate of Russia,rate of Iceland,rate of Norway,Global rate
1995,0.0005001256218725541,0.00012860445739956786,0.00043532433992800193,0.0001103391908459338,0.00013511181242141079,0.00015302227830617989
1996,0.0005101975815686531,0.00012552551282978954,0.0004129383669149567,0.0001338742393509128,0.00012677783227072094,0.00014842675800066186
1997,0.0004850973746779765,0.00012281155024983258,0.00039305530028029223,0.00013256792097345027,0.00012993344872138662,0.00014136594182299038
1998,0.0004634474822685829,0.0001215839575064904,0.00037030780875216805,0.00011892821889135114,0.00013270693078897661,0.0001446752249294399
1999,0.00046498344658930143,0.00011500749889641786,0.00041071873977240124,0.0001211789539519975,0.00014015282186768661,0.00014418166650163378
2000,0.0004919874816183402,0.00011189107904701488,0.00040967197480537977,0.00019251279247505996,0.00012978865560784155,0.00014218987981593715
2001,0.0004653721246650869,0.0001153120708880758,0.0004141752109482743,0.00013649910138091592,0.00013024592756096353,0.00014277564783001952
2002,0.0004736618365985766,0.00011774464922380677,0.00040283796358322555,0.00011258936781069975,0.00011640815337787477,0.0001405452923003058
2003,0.00044712452832971794,0.0001161335029457296,0.0003754564994910081,9.689561361010695e-05,0.00011747845370272428,0.00013929009921042417
2004,0.00042817662844414574,0.00011853026448872751,0.0003581775111724558,0.00012887167326980573,0.00012296720564579865,0.0001380097220678577
2005,0.0004154686637721405,0.0001181753371559138,0.000336378253490354,0.00012003098981918968,0.0001229501011743234,0.000135093490704526
2006,0.0003355976309174676,0.0001193343566007083,0.00031482564293352366,0.00011307460450390284,0.00012168057339911709,0.00012676401748404448
2007,0.0003319443486393682,0.00012326719815604014,0.00030530728816108126,0.00012771303915612745,0.00010979386145916268,0.0001255175706199397
2008,0.00036381426675870633,0.0001276050642033565,0.0002843377621271998,0.0001280168173671657,0.00011292261848992719,0.00012654216998237865
2009,0.0003772587872621786,0.00012939983005208445,0.0002789863086767971,0.00012153785904309192,0.0001265589053295214,0.00012320792687174696
2010,0.0003451155136881695,0.0001332758248253437,0.0002473270002465484,0.00015613332428212614,0.00011957533300530125,0.00011951250148595177
2011,0.0003534961568578428,0.00013608721527471178,0.00023034471541592434,9.13782891953634e-05,0.00012878771563327806,0.0001186357323019787
2012,0.000326664951705036,0.00013863469644110295,0.00022011825450939457,0.00012447937343139167,0.000109421162052741,0.00012032546293695317
2013,0.00038658503605929823,0.0001393153233087657,0.00021296975884355624,0.00016308544345927523,0.00011620090171060732,0.00011808460557589012
2014,0.00033434271278486987,0.0001436407659607153,0.0001970174405530438,0.00014451246748469482,0.0001135238849696448,0.00011661993547495705
2015,0.000325353695052082,0.0001472581287235193,0.00018560937227489778,0.00012963695171671732,0.00012082961202021172,0.00011474887431996669
